customer_id,first_name,last_name,email,country,signup_date,account_status
1,Danielle,Johnson,jeffreydoyle@hotmail.com,Saint Vincent and the Grenadines,2024-11-30,Blocked
2,Christopher,Henderson,robinsonwilliam@hoffman.net,Italy,2023-07-14,Active
3,Shane,Ramirez,helenpeterson@lewis.com,Bermuda,2024-03-18,Active
4,Colin,Abbott,blairamanda@yahoo.com,Belgium,2024-12-10,Blocked
5,Kelly,Fuller,janetwilliams@gmail.com,Sierra Leone,2023-10-29,Inactive
6,Tracie,Wyatt,oramirez@martin-kelly.com,Reunion,2025-07-02,Active
7,Deborah,Lynch,frankgray@watts.com,Denmark,2022-09-24,Active
8,Linda,Morales,robinbradley@edwards.info,Cambodia,2023-09-21,Active
9,Donald,Mcgee,zhurst@yahoo.com,Cyprus,2023-03-08,Blocked
10,William,Davis,hernandezernest@henderson.info,Malta,2023-08-31,Active
11,Tasha,Valencia,maldonadoamanda@mack-peterson.com,Jordan,2023-04-08,Blocked
12,Shawn,Mckay,williamrodriguez@hotmail.com,French Southern Territories,2025-04-24,Blocked
13,William,Gonzalez,amberosborne@hotmail.com,Uruguay,2022-08-06,Blocked
14,Carol,Burns,natasha43@allen.com,Belize,2024-08-29,Active
15,Lisa,Spence,donnaarroyo@baker.biz,Croatia,2024-11-20,Blocked
16,Karina,Vaughn,pcarney@yahoo.com,Kazakhstan,2024-10-18,Inactive
17,Shannon,Wright,andrew83@robinson.com,Bangladesh,2022-09-23,Active
18,Michele,Jones,elizabeth38@cummings.org,Lebanon,2023-08-18,Active
19,Kristen,Aguirre,davisryan@jenkins-shields.com,Peru,2025-05-17,Active
20,Tracey,Garcia,lauren13@gmail.com,Comoros,2024-11-16,Active
21,Shane,Henderson,ewright@yahoo.com,Sri Lanka,2024-12-07,Active
22,Corey,Pearson,housemelinda@russell.com,Tonga,2024-04-19,Blocked
23,Rachel,Martin,ybaker@mitchell-horton.net,Panama,2024-08-31,Blocked
24,Eric,Phillips,adkinsbrian@woods.com,Madagascar,2022-12-08,Active
25,Melissa,Jones,richarddavid@sanchez.biz,Palestinian Territory,2025-01-28,Blocked
26,Annette,Stewart,elizabethedwards@yahoo.com,Indonesia,2023-02-25,Active
27,Emily,Evans,smithchristine@hotmail.com,Bolivia,2022-11-27,Blocked
28,Amanda,Wagner,nicole35@moore-bass.com,New Caledonia,2025-05-17,Blocked
29,Allison,Contreras,mcmillandennis@gmail.com,Tuvalu,2023-01-19,Blocked
30,Julia,Moore,jenniferharris@hotmail.com,Timor-Leste,2023-09-20,Blocked
31,William,King,waltersmaria@smith.com,Central African Republic,2024-06-22,Inactive
32,Andrea,Patterson,jonesnicole@gardner.org,Mexico,2023-03-24,Active
33,Russell,Williams,nolanjason@gmail.com,Papua New Guinea,2023-01-12,Inactive
34,Michael,Castro,sarayoung@gmail.com,South Georgia and the South Sandwich Islands,2023-05-08,Blocked
35,Nicole,Johnson,vpham@gmail.com,Ethiopia,2023-04-10,Inactive
36,Kristin,Rodriguez,dwalker@torres-pope.com,Czech Republic,2022-09-11,Active
37,Donna,Ross,rasmussenjoshua@hotmail.com,Madagascar,2024-04-17,Active
38,Erin,Anthony,wilsontara@gmail.com,Morocco,2023-09-22,Blocked
39,Benjamin,Carlson,samuel81@yahoo.com,United Arab Emirates,2025-01-17,Inactive
40,James,Williams,meyerlindsay@hotmail.com,Saint Helena,2025-06-12,Inactive
41,James,Reynolds,elizabeth14@hotmail.com,Georgia,2025-06-06,Inactive
42,Ricky,Powell,jamesortega@yahoo.com,Philippines,2023-05-03,Active
43,Christina,Turner,justin69@pena.com,Madagascar,2024-08-10,Active
44,Laura,Moyer,campbellelizabeth@rogers.com,Czech Republic,2023-06-11,Inactive
45,Dylan,Williams,gibsonolivia@hotmail.com,Congo,2025-07-22,Active
46,Patrick,Ross,staffordmichelle@osborne.com,Spain,2025-07-22,Active
47,April,Williams,bryantlaurie@schmidt.info,New Caledonia,2024-09-28,Inactive
48,Ronald,Meadows,juliawells@yahoo.com,Sao Tome and Principe,2023-08-25,Active
49,Mary,Ramirez,joshuajones@yahoo.com,Dominica,2023-10-02,Inactive
50,Matthew,Orozco,edwardreyes@mccarthy.biz,Ireland,2024-01-02,Inactive
51,Amy,Perry,xprice@shah.org,Hong Kong,2024-08-15,Blocked
52,Adam,Bell,vmedina@hotmail.com,South Georgia and the South Sandwich Islands,2025-02-28,Inactive
53,Rachael,Freeman,ytucker@yahoo.com,Paraguay,2025-06-26,Active
54,Lauren,Ramsey,tinaferguson@yahoo.com,Namibia,2024-12-29,Blocked
55,Elizabeth,Miller,michellewhite@yahoo.com,Hong Kong,2023-12-27,Inactive
56,Jason,Murphy,karen64@gmail.com,Latvia,2022-09-05,Blocked
57,Kaitlyn,Williams,debraharrington@hotmail.com,Armenia,2022-09-23,Active
58,Stefanie,Gonzalez,johnwells@elliott.info,Reunion,2023-09-08,Inactive
59,Katie,Jackson,tamirodriguez@hickman.biz,Indonesia,2023-06-10,Active
60,Charles,Vaughn,terrykevin@burke.com,Guatemala,2024-11-10,Blocked
61,Ross,Wood,atkinsonlynn@gmail.com,Jersey,2024-02-19,Inactive
62,Cynthia,Poole,hthompson@nelson.info,Lao People's Democratic Republic,2024-06-12,Blocked
63,Margaret,Vargas,mariahmiller@yahoo.com,Ecuador,2024-07-27,Blocked
64,Ashley,Barnett,snydermark@yahoo.com,Croatia,2024-02-08,Inactive
65,Lauren,Peterson,blackjames@gmail.com,Saint Helena,2024-04-28,Blocked
66,Tracy,Chang,bwest@gmail.com,French Polynesia,2023-07-16,Active
67,Richard,Sanchez,wtran@yahoo.com,Samoa,2024-12-07,Blocked
68,Mark,Warner,john13@yahoo.com,British Indian Ocean Territory (Chagos Archipelago),2024-11-15,Active
69,Stephanie,Vaughn,joannahill@bray.com,Syrian Arab Republic,2023-06-03,Active
70,Kenneth,Ward,ericksondavid@gmail.com,Austria,2024-12-12,Blocked
71,Kelly,Raymond,salasaudrey@yahoo.com,Lesotho,2024-06-20,Active
72,Matthew,Sheppard,ewilson@yahoo.com,Liechtenstein,2022-11-29,Inactive
73,Barbara,Parks,lisaavery@mcknight.net,Serbia,2024-05-13,Active
74,Catherine,Gibbs,chayes@dalton-branch.com,Mongolia,2025-03-27,Active
75,Brian,Choi,colleenbaker@moore.net,Belarus,2023-04-06,Active
76,Aaron,Hayes,antonio44@hotmail.com,Tokelau,2024-07-11,Inactive
77,Charles,Hall,ronaldstephens@hotmail.com,Canada,2023-09-22,Inactive
78,Margaret,Jones,brooke94@martinez-barker.biz,Western Sahara,2023-10-02,Inactive
79,Vincent,Snyder,prestonjessica@wright.org,Myanmar,2022-09-07,Blocked
80,Yvonne,Chambers,hinesgregory@hotmail.com,Pakistan,2024-06-22,Inactive
81,Sabrina,White,ecosta@yahoo.com,Ireland,2024-01-05,Active
82,Manuel,Garcia,robert74@landry.info,Benin,2023-12-07,Inactive
83,Johnny,Wilson,sandovalamy@yahoo.com,Austria,2023-05-24,Inactive
84,April,Dean,nwolf@yahoo.com,Mayotte,2023-02-25,Active
85,Sara,Kim,johnsoncrystal@gmail.com,Russian Federation,2023-04-09,Blocked
86,Lance,Smith,walkermaureen@gmail.com,Kyrgyz Republic,2023-02-04,Inactive
87,Deborah,Moore,robert77@gmail.com,Korea,2024-12-09,Blocked
88,Duane,Lee,hillkristy@morgan-french.com,Swaziland,2022-08-09,Blocked
89,Justin,Evans,seanwashington@yahoo.com,Mexico,2024-11-27,Blocked
90,Nicholas,Cantu,ashleyhall@williams-garner.biz,Hungary,2025-06-02,Active
91,Laura,Pearson,ihanna@sanford.info,Bolivia,2024-10-31,Blocked
92,Renee,Smith,jpitts@harrison.com,Niger,2025-07-17,Blocked
93,Raymond,Miller,ofinley@hotmail.com,Tuvalu,2024-09-02,Active
94,Monique,Johnson,crystalmccall@francis.com,Senegal,2025-04-16,Blocked
95,Jane,Garcia,rebecca05@carter.biz,Cameroon,2023-08-20,Blocked
96,Amanda,Knight,gregorylynch@harvey-allen.org,Cambodia,2023-08-01,Active
97,Steven,King,nolansteven@yahoo.com,Philippines,2024-12-02,Active
98,Eric,Alexander,danielle64@yahoo.com,Tanzania,2023-11-18,Inactive
99,James,Cruz,youngashley@hotmail.com,French Polynesia,2025-07-27,Inactive
100,Kenneth,Spence,alan09@hotmail.com,Luxembourg,2023-10-24,Inactive
101,Kimberly,Hall,danaoliver@hotmail.com,Saudi Arabia,2025-05-26,Blocked
102,Erin,Taylor,parkerscott@diaz.com,San Marino,2024-05-12,Blocked
103,Gregory,Anderson,maria47@yahoo.com,San Marino,2024-01-14,Blocked
104,Linda,Mcdonald,karenperez@ramsey.net,Haiti,2022-12-24,Active
105,Krystal,Smith,vrichardson@baker.com,Botswana,2025-06-19,Blocked
106,Jesus,Johnson,deborahreid@yahoo.com,United States of America,2025-07-30,Inactive
107,Kevin,Ortiz,shahkevin@wilson-young.net,Burkina Faso,2024-03-31,Active
108,Shawn,Santiago,nicolepena@yahoo.com,New Zealand,2024-04-30,Active
109,Sheila,Ramirez,scottsampson@yahoo.com,Bolivia,2025-07-06,Active
110,Michael,Winters,sandersjames@gmail.com,Yemen,2024-07-12,Inactive
111,Christopher,Lewis,buchananjohn@buchanan.com,Switzerland,2024-12-13,Inactive
112,Jamie,Robinson,kim90@garrison-thomas.com,Mauritania,2023-08-30,Inactive
113,Lauren,Rodriguez,alexistyler@chapman.com,Estonia,2022-10-26,Active
114,David,Fisher,alvarezkimberly@wheeler.org,Aruba,2025-05-25,Active
115,Adrienne,Ellis,lutzmelanie@parks-henry.info,Barbados,2022-12-09,Blocked
116,Marc,Hernandez,claudia98@nguyen.info,Macedonia,2025-03-03,Blocked
117,Russell,Mcguire,russellbeasley@morgan-chavez.biz,Saint Lucia,2022-12-31,Inactive
118,Larry,Edwards,stephanie71@gmail.com,Switzerland,2022-12-16,Active
119,Christopher,Davis,angelawillis@hotmail.com,Moldova,2023-12-31,Blocked
120,Elizabeth,Jenkins,schmittcaroline@yahoo.com,Bosnia and Herzegovina,2025-01-19,Inactive
121,William,Moore,melaniebell@hotmail.com,Heard Island and McDonald Islands,2023-01-31,Inactive
122,Kathryn,Andrews,lynchdiane@hotmail.com,Ethiopia,2022-09-19,Blocked
123,Henry,Park,michael22@hotmail.com,Palestinian Territory,2024-04-19,Inactive
124,Chad,Figueroa,reesejason@chavez-moore.com,Saint Helena,2023-12-22,Active
125,Kimberly,Bradley,moorekaren@craig.info,Panama,2024-05-25,Inactive
126,Todd,Ramos,kariwilson@yahoo.com,Bouvet Island (Bouvetoya),2023-10-20,Active
127,Erika,Watkins,walkertracey@gmail.com,Albania,2023-06-19,Active
128,Kevin,Clark,keith10@burgess-thompson.biz,Marshall Islands,2025-08-03,Blocked
129,Jerry,Hansen,sandersjudy@yahoo.com,Andorra,2024-07-20,Blocked
130,Samantha,Atkins,amckinney@yahoo.com,Brazil,2024-04-26,Blocked
131,Andrew,Nguyen,christopher13@yahoo.com,Myanmar,2024-04-19,Inactive
132,Alexandria,Foster,jeffrey21@hotmail.com,Norfolk Island,2023-01-30,Blocked
133,Alyssa,Lee,jessica23@gmail.com,Cameroon,2023-09-07,Blocked
134,James,Morrison,stephanieburton@webster-wolf.info,Pitcairn Islands,2024-12-29,Inactive
135,Dawn,Downs,edward17@yahoo.com,Niue,2023-11-19,Blocked
136,Laura,Vargas,collinsshannon@gmail.com,Heard Island and McDonald Islands,2023-10-25,Inactive
137,Chase,Lin,jford@huang.com,Gibraltar,2025-03-02,Inactive
138,Thomas,Hernandez,vgarcia@miller.info,Kazakhstan,2024-10-28,Active
139,Alexandra,Moore,paul59@gmail.com,Somalia,2025-04-12,Active
140,Deborah,Jones,umitchell@brandt.com,Mozambique,2025-06-01,Blocked
